Production,Usage,Plugload
0,108.21,42.1
0,101.06,42.1
0,82.88,34.76
0,76.92,32.06
0,38.6,12.78
0,33.22,8.92
723,4058.48,1294.69
0,36.63,8.84
0,39.6,8.84
0,45.51,8.84
0,45.95,8.84
0,56.46,8.84
0,147.45,12.46
0,135.75,12.85
0,197.33,38.73
13,368.74,107.18
16,254.73,112.58
26,247.78,112.74
42,249.88,112.74
29,226.29,98.8
29,240.97,105.99
13,241.31,105.99
23,245.31,101.49
0,253.61,92.5
0,171.55,63.69
0,107.55,42.1
0,100.85,42.1
0,83.22,34.76
0,77.7,32.06
0,36.88,12.78
0,34.38,8.92
191,3645.41,1294.69
0,38.71,8.87
0,38.86,8.84
0,41.46,8.84
0,43.96,8.84
0,43.49,8.84
0,49.07,8.84
0,97.18,12.52
0,117.3,12.79
13,171.45,32.13
23,174.07,32.75
33,136.24,33.31
75,147.43,33.31
20,90.3,22.51
16,59.53,18.01
16,45.48,18.01
13,47.43,18.01
0,52.09,18.01
0,38.96,10.88
0,38.07,10.28
0,40.01,9.98
0,40.45,9.98
0,43.9,9.68
0,44.15,9.39
0,40.7,8.92
209,1680.3,373.57
0,42.97,8.87
0,44.35,8.84
0,44.51,8.84
0,44.23,8.84
0,45.81,8.84
0,46.52,8.84
0,45.52,8.92
0,46.4,9.12
10,39.64,9.31
59,34.8,9.31
29,31.08,9.86
39,29.16,9.86
72,31.31,10.44
81,31.79,10.44
39,32,10.44
13,34.41,10.44
0,40.21,10.39
0,45.18,10.09
0,47.47,9.79
0,46.84,9.57
0,48.15,9.57
0,46.62,9.57
0,41.97,9.03
0,42.49,8.92
342,983.44,228.16
0,41.3,8.84
0,42.87,8.84
0,44.13,8.84
0,45.05,8.84
0,81.94,8.84
0,100.82,12.46
0,132.12,12.85
0,174.53,38.73
16,272.17,107.18
33,272.74,112.58
36,258.31,112.74
33,246.83,112.74
39,224.9,98.8
23,268.9,105.99
23,273.38,105.99
20,269.66,101.49
0,253.86,92.5
0,171.03,63.69
0,111.43,42.1
0,99.84,42.1
0,82.84,34.76
0,77.45,32.06
0,37.77,12.78
0,28.79,8.92
223,3612.66,1294.69
0,30.71,8.84
0,30.11,8.84
0,32.39,8.84
0,32.08,8.84
0,54.46,8.84
0,81.27,12.46
0,103.23,12.85
0,166.93,38.73
36,270.75,107.18
46,273.49,112.58
85,267.77,112.74
36,264.03,112.74
68,239.36,98.8
117,270.7,105.99
107,277.92,105.99
42,274.62,101.49
3,263.55,92.5
0,177.81,63.69
0,111.62,42.1
0,103.7,42.1
0,83.38,34.76
0,77.88,32.06
0,37.73,12.78
0,26.98,8.92
540,3552.48,1294.69
0,28.73,8.84
0,28.66,8.84
0,30.2,8.84
0,30.32,8.84
0,53.2,8.84
0,77.03,12.46
0,90.81,12.85
0,158.22,38.73
16,269.55,107.18
72,277.06,112.58
52,285.06,112.74
23,272.77,112.74
150,244.05,98.8
146,260.89,105.99
68,246.3,105.99
59,260.49,101.49
3,262.18,92.5
0,177.51,63.69
0,111.69,42.1
0,103.99,42.1
0,83.66,34.76
0,78.04,32.06
0,34.51,12.78
0,21.97,8.92
589,3486.88,1294.69
0,21.52,8.84
0,21.73,8.84
0,43.63,8.84
0,28.34,8.84
0,56.17,8.84
0,59.01,12.46
0,76.04,12.85
3,147.65,38.73
49,247.41,107.18
104,251.78,112.58
146,264.93,112.74
169,263.15,112.74
169,239.72,98.8
153,249.12,105.99
117,253.56,105.99
65,247.78,101.49
3,260.01,92.5
0,177.79,63.69
0,112.21,42.1
0,104.1,42.1
0,83.64,34.76
0,77.74,32.06
0,35.14,12.78
0,25.25,8.92
978,3347.42,1294.69
0,25.22,8.84
0,27.69,8.84
0,28.83,8.84
0,28.65,8.84
0,53.98,8.84
0,73.27,12.46
0,88.16,12.85
0,159.15,38.73
7,247.21,107.18
29,249.29,112.58
16,256.01,112.74
23,261.55,112.74
23,234.11,98.8
49,251.16,105.99
111,248.9,105.99
46,257.61,101.49
3,261.89,92.5
0,177.82,63.69
0,112.86,42.1
0,104.14,42.1
0,83.91,34.76
0,74.65,32.06
0,34.51,12.78
0,25.7,8.92
307,3366.28,1294.69
0,27,8.87
0,27.12,8.84
0,27.45,8.84
0,28.6,8.84
0,29.06,8.84
0,52.69,8.84
0,54.13,12.52
0,75.71,12.79
16,119.83,32.13
16,105.5,32.75
16,100.4,33.31
23,98.47,33.31
20,70.65,22.51
20,53.97,18.01
23,48.56,18.01
26,51.47,18.01
0,53.73,18.01
0,31.51,10.88
0,31.43,10.28
0,31.66,9.98
0,32.36,9.98
0,32.94,9.68
0,31.81,9.39
0,28.35,8.92
160,1244.42,373.57
0,29.12,8.87
0,29.88,8.84
0,32.68,8.84
0,31.53,8.84
0,33.65,8.84
0,33.35,8.84
0,31.86,8.92
0,35.57,9.12
7,31.48,9.31
20,26.99,9.31
16,26.76,9.86
20,26.87,9.86
20,28.82,10.44
23,27.74,10.44
117,29.04,10.44
68,31.55,10.44
7,34.19,10.39
0,35.08,10.09
0,37.34,9.79
0,36.4,9.57
0,36.08,9.57
0,38.44,9.57
0,33.22,9.03
0,36,8.92
298,773.63,228.16
0,38.23,8.84
